## map version 1

## rectangles:
## w: wall

## ovals:
## s: start/spwan
## c: checkpoint
## h: hole

## Radius for holes & checkpoints
r	12

##	x1	y1	x2	y2

## Frame
# f1
w	0	0	800	20
# f2
w	0	460	800	480
# f3
w	0	20	20	460
# f4
w	780	20	800	460

## Walls
# w1
w	50	20	60	60
# w2
w	90	20	100	60
# w3
w	20	90	130	100
# w4
w	150	50	170	60
# w5
w	170	50	180	140
# w6
w	210	20	220	80
# w7
w	50	140	210	150
# w8
w	210	120	220	170
# w9
w	210	120	270	130
# w10
w	260	50	270	120
# w11
w	90	150	100	290
# w12
w	20	220	50	230
# w13
w	50	220	60	310
# w14
w	90	290	180	300
# w15
w	130	200	140	290
# w16
w	170	240	180	290
# w17
w	140	200	330	210
# w18
w	20	350	180	360
# w19
w	20	420	80	430
# w20
w	110	390	120	460
# w21
w	210	240	220	460
# w22
w	220	270	350	280
# w23
w	260	320	390	330
# w24
w	250	370	480	380
# w25
w	250	410	380	420
# w26
w	370	380	380	410
# w27
w	420	410	430	460
# w28
w	460	410	470	460
# w29
w	470	420	530	430
# w30
w	570	420	620	430
# w31
w	610	370	620	420
# w32
w	570	390	580	420
# w33
w	510	380	580	390
# w34
w	510	310	520	380
# w35
w	470	310	480	370
# w36
w	430	310	440	370
# w37
w	470	300	520	310
# w38
w	490	250	500	300
# w39
w	380	240	390	320
# w40
w	340	240	350	270
# w41
w	390	260	450	270
# w42
w	450	250	460	270
# w43
w	360	170	370	210
# w44
w	220	160	480	170
# w45
w	300	120	310	160
# w46
w	310	120	440	130
# w47
w	310	80	450	90
# w48
w	300	20	310	90
# w49
w	340	20	350	50
# w50
w	380	20	390	50
# w51
w	450	50	460	90
# w52
w	490	20	500	100
# w53
w	690	20	700	90
# w54
w	560	50	620	60
# w55
w	620	50	630	120
# w56
w	630	80	660	90
# w57
w	730	60	740	120
# w58
w	570	120	740	130
# w59
w	620	130	630	210
# w60
w	570	160	620	170
# w61
w	530	100	540	240
# w62
w	430	210	530	220
# w63
w	530	240	670	250
# w64
w	660	160	670	240
# w65
w	700	160	710	210
# w66
w	740	160	750	210
# w67
w	710	200	740	210
# w68
w	700	240	780	250
# w69
w	550	250	560	280
# w70
w	550	280	580	290
# w71
w	610	280	780	290
# w72
w	570	290	580	320
# w73
w	570	320	700	330
# w74
w	690	330	700	410
# w75
w	730	330	740	410
# w76
w	650	360	660	460
# w77
w	690	410	740	420

## Holes
# h1
h	35	35
# h2
h	115	35
# h3
h	155	125
# h4
h	195	125
# h5
h	245	105
# h6
h	235	145
# h7
h	195	165
# h8
h	115	165
# h9
h	75	165
# h10
h	35	205
# h11
h	35	245
# h12
h	115	275
# h13
h	155	275
# h14
h	105	335
# h15
h	165	375
# h16
h	35	405
# h17
h	135	445
# h18
h	405	445
# h19
h	445	445
# h20
h	485	445
# h21
h	355	395
# h22
h	415	355
# h23
h	455	355
# h24
h	405	285
# h25
h	235	295
# h26
h	235	255
# h27
h	325	255
# h28
h	455	235
# h29
h	385	185
# h30
h	325	145
# h31
h	455	125
# h32
h	435	65
# h33
h	325	35
# h34
h	365	35
# h35
h	515	35
# h36
h	765	35
# h37
h	645	65
# h38
h	675	85
# h39
h	605	105
# h40
h	605	145
# h41
h	685	175
# h42
h	725	185
# h43
h	605	185
# h44
h	515	195
# h45
h	555	225
# h46
h	535	265
# h47
h	575	265
# h48
h	765	265
# h49
h	765	305
# h50
h	495	325
# h51
h	535	365
# h52
h	635	385
# h53
h	715	395
# h54
h	595	405
# h55
h	765	445

## Checkpoints
# c1
c	75	35
# c2
c	35	445
# c3
c	645	105
# c4
c	675	345

## spwan
# s1
s	405	245
